"genus","quality_grade","identifications_most_agree","species_guess","num_identification_disagreements","identifications_count"
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","casual",FALSE,"Fuzzy-Horned Bumble Bee",0,0
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bombus mixtus",0,0
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bombus bifarius",0,0
"Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Apis","research",TRUE,"Western Honey Bee",0,3
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","needs_id",FALSE,"Black-tailed Bumble Bee",0,0
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Frigid Bumble Bee",0,2
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Frigid Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0
"Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2
"Bombus","needs_id",FALSE,NA,0,0
"Apis","research",TRUE,"Western Honey Bee",0,2
"Epeolus","needs_id",TRUE,"Cellophane-cuckoo Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","research",TRUE,"Bombus kluanensis",0,1
"Bombus","needs_id",FALSE,"Bombus lapponicus",0,0
"Bombus","needs_id",FALSE,"Alpinobombus",0,0
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
