"","genus","quality_grade","identifications_most_agree","species_guess","num_identification_disagreements","identifications_count","species_count","RatioDisagree"
"1","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"2","Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"3","Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0,56,NA
"4","Bombus","casual",FALSE,"Fuzzy-Horned Bumble Bee",0,0,56,NA
"5","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"6","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"7","Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1,56,0
"8","Bombus","needs_id",FALSE,"Bombus mixtus",0,0,56,NA
"9","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"10","Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0,56,NA
"11","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"12","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"13","Bombus","needs_id",FALSE,"Bombus bifarius",0,0,56,NA
"14","Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0,56,NA
"15","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"16","Nomada","needs_id",TRUE,"Nomad Bees",0,1,33,0
"17","Nomada","needs_id",TRUE,"Nomad Bees",0,1,33,0
"18","Nomada","needs_id",TRUE,"Nomad Bees",0,1,33,0
"19","Nomada","needs_id",TRUE,"Nomad Bees",0,1,33,0
"20","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"21","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"22","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"23","Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"24","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"25","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"26","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"27","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"28","Bombus","needs_id",FALSE,"Black-tailed Bumble Bee",0,0,56,NA
"29","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
