"","genus","quality_grade","id","comments_count","observed_on","num_identification_agreements","identifications_count","num_identification_disagreements","location","taxon.name","taxon.rank","taxon.id","taxon.taxon_changes_count","taxon.observations_count","user.id","user.observations_count","user.identifications_count","species_count","RatioDisagree"
"1","Bombus","research",47239637,0,"2019-06-29",1,1,0,"60.7050277778,-135.0220194444","Bombus nevadensis","species",341001,1,624,1717202,1875,622,56,0
"2","Bombus","needs_id",47221503,1,"2020-05-24",0,0,0,"60.7851533333,-135.1699933333","Bombus bifarius","species",127052,1,795,35757,3625,6819,56,NA
"3","Bombus","needs_id",47218959,0,"2020-05-23",0,0,0,"60.7776166667,-135.1745366667","Bombus flavifrons","species",119308,0,692,35757,3625,6819,56,NA
"4","Bombus","casual",47215439,0,"2011-06-05",0,0,0,"64.5934392604,-138.2575767693","Bombus mixtus","species",319125,0,859,1369721,389,0,56,NA
"5","Bombus","research",47213984,0,"2007-08-30",1,1,0,"61.5542036581,-138.7539858251","Bombus cryptarum","species",453068,1,150,1369721,389,0,56,0
"6","Bombus","needs_id",47181341,2,"2020-05-22",2,2,0,"60.71265333,-135.09486383","Bombus","genus",52775,1,143140,2958657,35,0,56,0
"7","Bombus","needs_id",47151547,0,"2019-06-29",1,1,0,"60.7081611111,-135.0394138889","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"8","Bombus","needs_id",47079887,0,"2019-06-29",0,0,0,"60.7443694444,-135.0443888889","Bombus mixtus","species",319125,0,859,1717202,1875,622,56,NA
"9","Bombus","research",47078315,0,"2019-06-29",1,1,0,"60.7436611111,-135.0441583333","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"10","Bombus","needs_id",47051955,0,"2015-07-03",0,0,0,"60.3241381811,-135.8066994583","Bombus flavifrons","species",119308,0,692,1369721,389,0,56,NA
"11","Bombus","needs_id",46988030,0,"2020-05-22",0,0,0,"60.7623362253,-137.4962959171","Bombus","genus",52775,1,143140,1946614,13,0,56,NA
"12","Bombus","research",46815891,0,"2019-06-28",1,1,0,"60.7156361111,-135.0854944444","Bombus cryptarum","species",453068,1,150,1717202,1875,622,56,0
"13","Bombus","needs_id",46809978,0,"2019-06-28",0,0,0,"61.4116833333,-135.7116083333","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,NA
"14","Bombus","needs_id",46572014,0,"2018-07-22",0,0,0,"60.6270321147,-135.2089269939","Bombus flavifrons","species",119308,0,692,1369721,389,0,56,NA
"15","Apis","research",46557447,0,"2020-05-19",3,3,0,"53.2474366667,-131.8065633333","Apis mellifera","species",47219,1,95272,309220,5653,5574,1,0
"16","Nomada","needs_id",46461462,1,"2019-06-28",1,1,0,"62.2974583333,-136.1412666667","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"17","Nomada","needs_id",46460457,0,"2019-06-28",1,1,0,"62.2974388889,-136.1412666667","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"18","Nomada","needs_id",46444526,1,"2020-05-18",1,1,0,"60.7383183333,-135.0533316667","Nomada","genus",53648,0,6067,35757,3625,6819,33,0
"19","Nomada","needs_id",46400031,0,"2019-06-28",1,1,0,"62.2977,-136.1416777778","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"20","Bombus","needs_id",46347666,0,"2020-05-17",0,0,0,"64.0678224247,-139.4264515063","Bombus","genus",52775,1,143140,1245420,385,256,56,NA
"21","Bombus","research",46184721,0,"2019-06-27",1,1,0,"60.6980138889,-135.0238194444","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"22","Bombus","needs_id",46048254,0,"2019-06-27",0,0,0,"60.6984138889,-135.0220638889","Bombus","genus",52775,1,143140,1717202,1875,622,56,NA
"23","Bombus","needs_id",45800693,0,"2020-05-12",0,0,0,"60.6931822422,-135.1805913822","Bombus bifarius","species",127052,1,795,1064006,447,388,56,NA
"24","Bombus","needs_id",45796905,0,"2020-05-12",0,0,0,"60.7051938022,-135.0161718865","Bombus","genus",52775,1,143140,2805552,143,93,56,NA
"25","Bombus","needs_id",45796904,0,"2020-05-12",0,0,0,"60.7051938022,-135.0161718865","Bombus","genus",52775,1,143140,2805552,143,93,56,NA
"26","Bombus","needs_id",45796511,0,"2020-05-12",0,0,0,"60.7051938022,-135.0161718865","Bombus","genus",52775,1,143140,2805552,143,93,56,NA
"27","Bombus","research",45719790,0,"2020-05-12",1,1,0,"60.6484582559,-135.0810284691","Bombus occidentalis mckayi","subspecies",454868,0,27,35757,3625,6819,56,0
"28","Bombus","needs_id",45719785,0,"2020-05-12",0,0,0,"60.7395016667,-135.1466633333","Bombus melanopygus","species",130222,0,3688,35757,3625,6819,56,NA
"29","Bombus","research",45719781,1,"2020-05-12",1,1,0,"60.7395016667,-135.1466633333","Bombus bifarius","species",127052,1,795,35757,3625,6819,56,0
"30","Bombus","research",45688923,0,"2020-05-11",2,2,0,"60.7324966667,-135.06648","Bombus frigidus","species",433293,0,74,35757,3625,6819,56,0
"31","Bombus","research",45633351,0,"2020-05-11",1,1,0,"60.7959920098,-135.1206798587","Bombus occidentalis mckayi","subspecies",454868,0,27,35757,3625,6819,56,0
"32","Bombus","needs_id",45605076,0,"2020-05-10",0,0,0,"60.4277117045,-134.2442756034","Bombus","genus",52775,1,143140,1369721,389,0,56,NA
"33","Bombus","research",45604796,0,"2020-05-10",1,1,0,"60.4330449143,-134.2491920815","Bombus frigidus","species",433293,0,74,1369721,389,0,56,0
"34","Bombus","needs_id",45561898,0,"2020-05-10",0,0,0,"60.7488563166,-135.1055639709","Bombus bifarius","species",127052,1,795,35757,3625,6819,56,NA
"35","Bombus","needs_id",45367295,0,"2020-05-08",0,0,0,"60.4340286723,-134.9018439922","Bombus","genus",52775,1,143140,2041848,49,6,56,NA
"36","Bombus","needs_id",44864505,1,"2016-06-28",0,0,0,"61.6067249077,-137.5315625578","Bombus bifarius","species",127052,1,795,264097,3333,133,56,NA
"37","Bombus","research",44524521,1,"2020-05-01",2,2,0,"60.590275,-134.8957972222","Bombus melanopygus","species",130222,0,3688,111081,2869,38894,56,0
"38","Bombus","needs_id",44507862,0,"2020-04-30",0,0,0,"61.018625522,-138.5197497801","Bombus","genus",52775,1,143140,480504,102,0,56,NA
"39","Apis","research",43719840,0,"2020-04-26",2,2,0,"60.7374638889,-135.0961583333","Apis mellifera","species",47219,1,95272,2837380,9,0,1,0
"40","Epeolus","needs_id",43382692,0,"2019-06-16",1,1,0,"60.7036027778,-135.0244138889","Epeolus","genus",154666,0,283,1717202,1875,622,12,0
"41","Nomada","needs_id",43254667,0,"2019-06-16",1,1,0,"60.7214055556,-135.070175","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"42","Nomada","needs_id",42919328,0,"2019-06-15",1,1,0,"60.689025,-134.9565277778","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"43","Bombus","needs_id",42919048,0,"2019-06-15",1,1,0,"60.688975,-134.9565111111","Bombus melanopygus","species",130222,0,3688,1717202,1875,622,56,0
"44","Bombus","needs_id",42916582,0,"2019-06-15",0,0,0,"60.6888555556,-134.9563","Bombus","genus",52775,1,143140,1717202,1875,622,56,NA
"45","Bombus","needs_id",42635515,0,"2019-06-14",0,0,0,"60.6895111111,-134.9596111111","Bombus","genus",52775,1,143140,1717202,1875,622,56,NA
"46","Bombus","research",42428626,1,"2019-07-10",1,1,0,"60.9737683333,-138.920675","Bombus kluanensis","species",1072384,0,1,35757,3625,6819,56,0
"47","Bombus","needs_id",42427912,0,"2019-07-10",0,0,0,"60.9743883333,-138.92094","Bombus lapponicus","species",433295,0,10,35757,3625,6819,56,NA
"48","Bombus","needs_id",42427460,1,"2019-07-10",0,0,0,"60.9742566667,-138.9209416667","Bombus neoboreus","species",452447,0,1,35757,3625,6819,56,NA
"49","Bombus","research",41698591,0,"2011-07-09",1,1,0,"60.7292911308,-135.0909462314","Bombus cryptarum","species",453068,1,150,35757,3625,6819,56,0
"50","Bombus","research",41696499,0,"2011-07-09",1,1,0,"60.6242641036,-135.1783328519","Bombus occidentalis mckayi","subspecies",454868,0,27,35757,3625,6819,56,0
"51","Bombus","needs_id",41670977,0,"2019-08-05",0,0,0,"64.8415936667,-138.3425711111","Bombus","genus",52775,1,143140,384665,2600,1177,56,NA
"52","Bombus","needs_id",41670418,0,"2019-08-05",0,0,0,"64.8415936667,-138.3425711111","Bombus","genus",52775,1,143140,384665,2600,1177,56,NA
"53","Bombus","needs_id",41569660,1,"2016-06-27",1,1,0,"61.7896728962,-137.5079236952","Bombus sylvicola","species",450489,0,124,264273,8208,93,56,0
"54","Apis","research",41089225,0,"2019-06-05",2,2,0,"60.7181138889,-135.0536027778","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"55","Apis","research",40930778,0,"2019-05-29",2,2,0,"60.7035555556,-135.0259694444","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"56","Bombus","needs_id",40172577,0,"2009-07-08",1,1,0,"67.1509141794,-135.927509946","Bombus","genus",52775,1,143140,1406094,1501,35,56,0
"57","Nomada","needs_id",40116766,0,"2019-05-29",2,2,0,"60.7435111111,-135.04515","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"58","Bombus","research",39121664,0,"2019-05-22",0,0,0,"60.700925,-135.0177","Bombus flavifrons","species",119308,0,692,1717202,1875,622,56,NA
"59","Bombus","research",38810654,0,"2016-07-21",2,2,0,"62.335749526,-131.5884663839","Bombus occidentalis","species",82371,0,212,842243,2105,830,56,0
"60","Bombus","research",38810629,0,"2016-07-21",2,2,0,"62.2126848877,-131.5344060574","Bombus occidentalis mckayi","subspecies",454868,0,27,842243,2105,830,56,0
"61","Bombus","needs_id",38805354,0,"2016-07-21",0,0,0,"62.9192933333,-130.5571933333","Bombus","genus",52775,1,143140,842243,2105,830,56,NA
"62","Bombus","needs_id",38768534,0,"2016-07-20",2,2,0,"63.1411033333,-130.2339866667","Alpinobombus","subgenus",538882,0,69,842243,2105,830,56,0
"63","Nomada","needs_id",38768304,0,"2016-07-20",2,2,0,"63.1407366667,-130.2336266667","Nomada","genus",53648,0,6067,842243,2105,830,33,0
"64","Bombus","research",38729363,0,"2016-07-19",2,2,0,"63.2412366667,-130.0433416667","Bombus sylvicola","species",450489,0,124,842243,2105,830,56,0
"65","Bombus","needs_id",38723853,0,"2016-07-19",1,1,0,"63.2413333333,-130.04306","Bombus frigidus","species",433293,0,74,842243,2105,830,56,0
"66","Bombus","research",38723747,0,"2016-07-19",2,2,0,"63.2413083333,-130.043045","Bombus sylvicola","species",450489,0,124,842243,2105,830,56,0
"67","Bombus","needs_id",38723655,1,"2016-07-19",1,1,0,"63.241355,-130.0429583333","Bombus cryptarum","species",453068,1,150,842243,2105,830,56,0
"68","Bombus","research",38529219,0,"2019-05-19",0,0,0,"60.8007138889,-135.2277361111","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,NA
"69","Nomada","needs_id",38446991,0,"2019-05-19",2,2,0,"60.7753638889,-135.081375","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"70","Bombus","needs_id",38170562,0,"2013-07-17",0,0,0,"64.4196490708,-138.3177856257","Bombus","genus",52775,1,143140,386976,916,3437,56,NA
"71","Bombus","research",38048283,0,"2013-06-12",0,0,0,"61.3773166667,-139.1445916667","Bombus flavifrons","species",119308,0,692,1228186,5364,1,56,NA
"72","Bombus","research",37839029,0,"2019-05-13",0,0,0,"62.1906888889,-133.4640805556","Bombus melanopygus","species",130222,0,3688,1717202,1875,622,56,NA
"73","Bombus","research",37833519,0,"2019-05-13",0,0,0,"62.1992416667,-134.4168694444","Bombus melanopygus","species",130222,0,3688,1717202,1875,622,56,NA
